request_id,department,section_id,defect_type,severity,reported_date,overdue_days,preferred_window_start,preferred_window_end,estimated_duration_min,status
ENG-0001,ENGINEERING,TVC-ERS,Track geometry deviation,CRITICAL,2026-08-27,5,2026-09-23 23:00,2026-09-24 02:00,180,PENDING
ENG-0002,ENGINEERING,BRC-ADI,Rail wear beyond limit,CRITICAL,2026-08-26,6,2026-09-02 01:00,2026-09-02 04:00,180,PENDING
ENG-0003,ENGINEERING,BZA-MS,Rail fracture risk,MAJOR,2026-08-22,7,2026-09-09 04:00,2026-09-09 06:00,120,PENDING
ENG-0004,ENGINEERING,ALD-CNB,Rail fracture risk,MINOR,2026-07-16,46,2026-09-24 04:00,2026-09-24 05:30,90,PENDING
ENG-0005,ENGINEERING,BBS-VSKP,Track geometry deviation,CRITICAL,2026-08-24,6,2026-09-29 03:00,2026-09-29 06:00,180,PENDING
ENG-0006,ENGINEERING,ST-BRC,Bridge deck inspection due,MINOR,2026-06-29,61,2026-09-19 01:00,2026-09-19 02:30,90,PENDING
ENG-0007,ENGINEERING,KOP-UBL,Fastening failure,MAJOR,2026-08-24,6,2026-09-20 02:00,2026-09-20 04:00,120,PENDING
ENG-0008,ENGINEERING,VSKP-BBS,Ballast degradation,CRITICAL,2026-08-23,7,2026-09-04 00:00,2026-09-04 03:00,180,PENDING
ENG-0009,ENGINEERING,ADI-BRC,Track geometry deviation,CRITICAL,2026-08-28,3,2026-09-13 03:00,2026-09-13 06:00,180,PENDING
ENG-0010,ENGINEERING,ET-NGP,Bridge deck inspection due,MAJOR,2026-08-12,20,2026-09-21 23:00,2026-09-22 01:00,120,PENDING
ENG-0011,ENGINEERING,BWN-ASN,Ballast degradation,MINOR,2026-07-18,44,2026-09-23 03:00,2026-09-23 04:30,90,PENDING
ENG-0012,ENGINEERING,MGS-ALD,Ballast degradation,MINOR,2026-07-07,56,2026-09-27 03:00,2026-09-27 04:30,90,PENDING
ENG-0013,ENGINEERING,JBP-MGS,Fastening failure,CRITICAL,2026-08-24,5,2026-09-14 23:00,2026-09-15 02:00,180,PENDING
ENG-0014,ENGINEERING,JHS-BPL,Ballast degradation,MAJOR,2026-08-15,15,2026-09-25 22:00,2026-09-26 00:00,120,PENDING
ENG-0015,ENGINEERING,AGC-GWL,Track geometry deviation,MAJOR,2026-08-09,20,2026-09-04 00:00,2026-09-04 02:00,120,PENDING
ENG-0016,ENGINEERING,GZB-ALJN,Bridge deck inspection due,CRITICAL,2026-08-22,9,2026-09-27 23:00,2026-09-28 02:00,180,PENDING
ENG-0017,ENGINEERING,AGC-GWL,Rail wear beyond limit,CRITICAL,2026-08-26,4,2026-09-19 00:00,2026-09-19 03:00,180,PENDING
ENG-0018,ENGINEERING,TDL-JP,Rail fracture risk,MINOR,2026-07-28,33,2026-09-26 23:00,2026-09-27 00:30,90,PENDING
ENG-0019,ENGINEERING,BBS-VSKP,Ballast degradation,MAJOR,2026-08-22,8,2026-09-18 00:00,2026-09-18 02:00,120,PENDING
ENG-0020,ENGINEERING,BWN-ASN,Bridge deck inspection due,MINOR,2026-06-29,62,2026-09-28 23:00,2026-09-29 00:30,90,PENDING
ENG-0021,ENGINEERING,CNB-TDL,Track geometry deviation,MAJOR,2026-08-14,18,2026-09-21 03:00,2026-09-21 05:00,120,PENDING
ENG-0022,ENGINEERING,R-BSP,Track geometry deviation,CRITICAL,2026-08-27,3,2026-09-09 01:00,2026-09-09 04:00,180,PENDING
ENG-0023,ENGINEERING,BRC-ST,Rail fracture risk,MAJOR,2026-08-11,21,2026-09-26 22:00,2026-09-27 00:00,120,PENDING
ENG-0024,ENGINEERING,PURI-BBS,Rail wear beyond limit,CRITICAL,2026-08-25,6,2026-09-10 22:00,2026-09-11 01:00,180,PENDING
ENG-0025,ENGINEERING,HWH-TATA,Ballast degradation,MAJOR,2026-08-08,23,2026-09-24 03:00,2026-09-24 05:00,120,PENDING
ENG-0026,ENGINEERING,ET-JBP,Track geometry deviation,MINOR,2026-07-15,45,2026-09-18 04:00,2026-09-18 05:30,90,PENDING
ENG-0027,ENGINEERING,DHN-ASN,Track geometry deviation,MAJOR,2026-08-08,23,2026-09-02 01:00,2026-09-02 03:00,120,PENDING
ENG-0028,ENGINEERING,JHS-GWL,Rail fracture risk,CRITICAL,2026-08-27,5,2026-09-29 03:00,2026-09-29 06:00,180,PENDING
ENG-0029,ENGINEERING,TDL-CNB,Bridge deck inspection due,MAJOR,2026-08-16,13,2026-09-09 00:00,2026-09-09 02:00,120,PENDING
ENG-0030,ENGINEERING,BPL-ET,Rail fracture risk,MAJOR,2026-08-14,18,2026-09-23 04:00,2026-09-23 06:00,120,PENDING
ENG-0031,ENGINEERING,CSTM-DR,Bridge deck inspection due,MAJOR,2026-08-09,23,2026-09-03 04:00,2026-09-03 06:00,120,PENDING
ENG-0032,ENGINEERING,GWL-AGC,Rail fracture risk,MINOR,2026-07-03,59,2026-09-08 02:00,2026-09-08 03:30,90,PENDING
ENG-0033,ENGINEERING,ALJN-GZB,Ballast degradation,CRITICAL,2026-08-27,5,2026-09-16 00:00,2026-09-16 03:00,180,PENDING
ENG-0034,ENGINEERING,BWN-HWH,Rail fracture risk,MAJOR,2026-08-12,20,2026-09-04 00:00,2026-09-04 02:00,120,PENDING
ENG-0035,ENGINEERING,TATA-GAYA,Rail wear beyond limit,CRITICAL,2026-09-01,0,2026-09-07 04:00,2026-09-07 07:00,180,PENDING
ENG-0036,ENGINEERING,MFP-LKO,Rail wear beyond limit,MAJOR,2026-08-12,18,2026-09-15 23:00,2026-09-16 01:00,120,PENDING
ENG-0037,ENGINEERING,JP-TDL,Fastening failure,MINOR,2026-07-28,34,2026-09-11 02:00,2026-09-11 03:30,90,PENDING
ENG-0038,ENGINEERING,BZA-CBE,Fastening failure,MAJOR,2026-08-24,8,2026-09-25 03:00,2026-09-25 05:00,120,PENDING
ENG-0039,ENGINEERING,ALJN-TDL,Fastening failure,MAJOR,2026-08-10,22,2026-09-18 01:00,2026-09-18 03:00,120,PENDING
ENG-0040,ENGINEERING,MB-GZB,Rail fracture risk,CRITICAL,2026-08-27,4,2026-09-14 01:00,2026-09-14 04:00,180,PENDING
ENG-0041,ENGINEERING,GZB-NZM,Fastening failure,MAJOR,2026-08-20,9,2026-09-23 22:00,2026-09-24 00:00,120,PENDING
ENG-0042,ENGINEERING,RTM-BRC,Track geometry deviation,MAJOR,2026-08-17,14,2026-09-23 23:00,2026-09-24 01:00,120,PENDING
ENG-0043,ENGINEERING,UMB-LDH,Ballast degradation,MAJOR,2026-08-14,16,2026-09-26 01:00,2026-09-26 03:00,120,PENDING
ENG-0044,ENGINEERING,LKO-BE,Fastening failure,MINOR,2026-07-18,45,2026-09-04 22:00,2026-09-04 23:30,90,PENDING
ENG-0045,ENGINEERING,ET-NGP,Track geometry deviation,MAJOR,2026-08-06,24,2026-09-11 02:00,2026-09-11 04:00,120,PENDING
ENG-0046,ENGINEERING,GWL-JHS,Track geometry deviation,MAJOR,2026-08-20,12,2026-09-23 00:00,2026-09-23 02:00,120,PENDING
ENG-0047,ENGINEERING,NDLS-NZM,Rail fracture risk,MINOR,2026-07-04,59,2026-09-05 23:00,2026-09-06 00:30,90,PENDING
ENG-0048,ENGINEERING,NDLS-NZM,Fastening failure,MAJOR,2026-08-14,17,2026-09-24 03:00,2026-09-24 05:00,120,PENDING
ENG-0049,ENGINEERING,JBP-ET,Track geometry deviation,MINOR,2026-07-19,44,2026-09-04 23:00,2026-09-05 00:30,90,PENDING
ENG-0050,ENGINEERING,AGC-GWL,Rail fracture risk,MAJOR,2026-08-13,17,2026-09-26 02:00,2026-09-26 04:00,120,PENDING
ENG-0051,ENGINEERING,RTM-KOTA,Bridge deck inspection due,MAJOR,2026-08-20,12,2026-09-05 01:00,2026-09-05 03:00,120,PENDING
ENG-0052,ENGINEERING,MAS-BZA,Ballast degradation,MINOR,2026-07-03,60,2026-09-28 03:00,2026-09-28 04:30,90,PENDING
ENG-0053,ENGINEERING,CBE-ERS,Ballast degradation,CRITICAL,2026-08-26,6,2026-09-13 02:00,2026-09-13 05:00,180,PENDING
ENG-0054,ENGINEERING,BE-LKO,Track geometry deviation,MINOR,2026-07-04,56,2026-09-21 23:00,2026-09-22 00:30,90,PENDING
ENG-0055,ENGINEERING,ET-BPL,Ballast degradation,MINOR,2026-06-15,75,2026-09-02 02:00,2026-09-02 03:30,90,PENDING
